QTD,Bubblesort,Heapsort,Insertionsort,MegeSort,QuickSort,RadixSort
331,74603,7746,26919,5809,4499,2492
332,74524,7847,26284,5858,4381,2512
333,76461,7877,28181,5869,4747,3519
334,76856,7876,27665,5883,4207,3527
335,75066,7903,27304,5889,4208,2520
336,76293,7899,28015,5903,4938,3553
337,77249,7941,28460,5939,4785,2548
338,77458,8027,26507,5963,4763,2560
339,77330,8012,27523,5990,4381,2562
340,78519,8065,29714,6021,4547,3587
341,78284,8116,28471,6025,5179,3607
342,79916,8145,28501,6045,4796,3623
343,80316,8151,30369,6066,4436,3632
344,81172,8111,30402,6081,5059,3633
345,82273,8207,31771,6091,4472,3649
346,82078,8104,30517,6138,4866,3657
347,82883,8260,30637,6158,4788,2619
348,81980,8340,29976,6153,4873,2620
349,84119,8247,31725,6175,5460,1577
350,83498,8234,30923,6225,4515,3708
351,84217,8315,30497,6224,5418,3719
352,82035,8386,30160,6261,5026,3712
353,83953,8428,30501,6283,5057,3729
354,87382,8442,32244,6297,4858,3747
355,84871,8481,30702,6300,5832,3756
356,85714,8501,31140,6347,4495,2691
357,85811,8537,30686,6353,5279,3771
358,84856,8542,30182,6372,5348,3772
359,86825,8572,31344,6395,4968,3799
360,87229,8601,31938,6430,4956,2707
361,88269,8625,33335,6432,4694,3807
362,87555,8675,32269,6468,4590,3826
363,89157,8684,32848,6464,5135,3841
364,89133,8764,33762,6510,5151,2740
365,87766,8860,28544,6523,4870,2755
366,90622,8784,32698,6556,4779,3870
367,91009,8796,33203,6575,5999,3882
368,91342,8858,34504,6587,4426,3890
369,90348,8864,33510,6601,5011,2783
370,93548,8830,35004,6619,5298,3910
371,93628,8896,34257,6637,5202,3920
372,93568,8931,33510,6667,5341,3930
373,94327,8964,34167,6680,4961,3944
374,94560,9023,33630,6704,5856,3950
375,93509,9077,33274,6711,5566,3956
376,96498,9076,34891,6742,5317,2834
377,94962,9175,34312,6782,5382,3987
378,97440,9105,36109,6787,6240,4001
379,97192,9147,37307,6804,5417,1707
380,98139,9071,37277,6836,5194,4028
381,98477,9194,36259,6848,5543,4029
382,95887,9274,34524,6875,5048,4030
383,99430,9253,36838,6903,5142,4048
384,99098,9294,36330,6909,4928,4055
385,99780,9381,35442,6949,4754,4068
386,101121,9341,38522,6960,5648,4083
387,101353,9344,37489,6967,5216,4098
388,98403,9436,34552,7001,5046,4088
389,101432,9415,36861,7022,5455,4116
390,101598,9426,37908,7033,5454,2934
391,102527,9480,38428,7067,5756,2944
392,101093,9581,36380,7073,5054,4142
393,103862,9494,39510,7080,5926,1770
394,104100,9571,38756,7137,5756,2970
395,104264,9586,39510,7161,5935,1787
396,106335,9672,38542,7170,6256,4183
397,106116,9540,40438,7190,5096,2990
398,106777,9698,39187,7207,5631,4200
399,104754,9701,38107,7204,5968,4218
400,107018,9808,39185,7271,5123,3021
401,107153,9826,38503,7288,5807,4235
402,108270,9801,40446,7307,5919,4259
403,106369,9804,38440,7300,5680,4264
404,107548,9962,37931,7324,5763,3042
405,108902,9899,39616,7358,5940,3061
406,111150,9958,40742,7368,5566,4287
407,109444,9943,40722,7397,5924,4301
408,111400,10005,40478,7423,7396,4318
409,110921,9990,40655,7430,5853,1845
410,111679,10043,41440,7431,5800,4335
411,111172,10121,39465,7485,5994,3097
412,117029,10006,45087,7493,5782,4357
413,114265,10105,43448,7522,5211,4357
414,114895,10140,43289,7566,5787,3116
415,115508,10098,43402,7543,6119,4396
416,116492,10190,42686,7599,6129,4400
417,116906,10160,45945,7608,6830,4402
418,117149,10270,41941,7631,5569,4416
419,115403,10327,42563,7650,5351,4413
420,116510,10257,43493,7654,6605,4438
421,119145,10398,43850,7672,5433,3178
422,120096,10304,45327,7724,6372,4452
423,121514,10382,48654,7724,6192,4465
424,120866,10333,47193,7743,6194,4473
